p	linkRatio	samplenum
0.0	0.018017996657339348	16026754
0.1	0.07725765211591196	431776
0.2	0.14992956329241297	49690
0.3	0.23074147573516146	11086
0.4	0.29533941236068895	3948
0.6	0.363265306122449	980
0.5	0.33934252386002123	1886
0.8	0.43478260869565216	414
0.7	0.39666666666666667	600
0.9	0.48598130841121495	214
1.0	0.5619047619047619	210
1.1	0.5365853658536586	164
1.8	0.47368421052631576	38
1.3	0.5135135135135135	74
1.6	0.6	40
2.8	0.7142857142857143	14
1.7	0.5333333333333333	30
1.9	0.8461538461538461	26
2.4	0.5	8
1.2	0.46511627906976744	86
2.1	0.75	16
2.2	0.8888888888888888	18
3.4	1.0	4
1.5	0.4	50
1.4	0.6060606060606061	66
2.5	0.2	10
2.6	0.25	16
3.1	0.0	4
2.7	0.0	2
2.0	0.375	16
3.2	0.6666666666666666	6
3.7	1.0	2
3.0	0.6	10
3.9	0.0	2
3.3	0.0	2
2.3	0.42857142857142855	14
2.9	1.0	2
6.6	1.0	2
4.0	0.5	4
5.8	1.0	2
4.2	0.0	2
4.5	1.0	2
