p	linkRatio	samplenum
0.1	0.03624473637777315	1637893	2.7620070419740483
0.0	0.008728724443297474	13837417	0.33323011079307646
0.3	0.11268390120232014	208264	8.038816118004071
0.4	0.15141070504556178	114021	10.582629515615544
0.2	0.07304334693911796	476758	5.378420498449947
0.5	0.1905546483144757	68584	13.165636300011665
0.7	0.2659505419614461	30814	18.12276887129227
0.8	0.3033050468959357	22390	20.49517641804377
1.0	0.36554986204178164	12685	24.881040599132835
0.6	0.22686164229471317	44450	15.532103487064116
1.1	0.41180012040939196	9966	27.179811358619304
1.2	0.4299645390070922	7896	29.440222897669706
0.9	0.3382686567164179	16750	22.664119402985076
1.3	0.464171974522293	6280	31.388535031847134
1.4	0.489569116786898	5129	33.815558588418796
2.8	0.7313432835820896	536	58.05783582089552
2.2	0.6508313539192399	1263	48.868566904196356
1.8	0.5696969696969697	2475	41.08808080808081
1.6	0.5328831473869642	3406	37.73223722842044
1.5	0.5032516258129065	3998	35.69209604802401
1.7	0.5659098610640461	2951	39.82277194171467
2.1	0.6391820580474934	1516	46.446569920844325
2.5	0.7126030624263839	849	53.94228504122497
2.0	0.6417569880205363	1753	45.01026811180833
3.1	0.7384615384615385	390	63.72051282051282
1.9	0.6129032258064516	2015	42.99801488833747
3.0	0.7583892617449665	447	65.93736017897092
2.4	0.6683217477656405	1007	51.67030784508441
2.6	0.7117903930131004	687	55.19505094614265
3.4	0.7946127946127947	297	68.48484848484848
2.7	0.7388535031847133	628	56.09872611464968
2.3	0.6527651858567544	1103	51.89301903898459
4.6	0.8279569892473119	93	86.36559139784946
5.2	0.8333333333333334	42	92.02380952380952
2.9	0.7169421487603306	484	61.78719008264463
4.0	0.7983870967741935	124	85.39516129032258
3.2	0.7719298245614035	342	67.61988304093568
3.8	0.7978723404255319	188	77.75531914893617
5.1	0.8301886792452831	53	102.73584905660377
4.3	0.8155339805825242	103	80.33009708737865
3.3	0.7727272727272727	286	65.3076923076923
5.7	0.8846153846153846	26	97.84615384615384
4.5	0.8352941176470589	85	83.96470588235294
4.4	0.8470588235294118	85	86.75294117647059
3.5	0.819672131147541	244	71.95081967213115
4.1	0.8082191780821918	146	80.1986301369863
3.7	0.8258426966292135	178	73.01685393258427
3.9	0.8764705882352941	170	77.1470588235294
3.6	0.8229665071770335	209	71.62679425837321
4.2	0.8947368421052632	95	78.88421052631578
5.8	0.9583333333333334	24	106.83333333333333
4.8	0.828125	64	87.375
4.7	0.8529411764705882	68	90.27941176470588
6.3	1.0	18	116.16666666666667
5.5	0.8823529411764706	34	111.6470588235294
8.1	0.8	5	161.0
5.0	0.9107142857142857	56	96.92857142857143
8.0	1.0	4	209.5
5.3	0.813953488372093	43	91.93023255813954
6.4	0.9285714285714286	14	124.85714285714286
7.0	1.0	8	121.125
5.9	0.8125	16	103.4375
6.1	0.8125	16	111.625
9.4	1.0	1	98.0
7.6	1.0	7	80.14285714285714
7.7	1.0	9	121.77777777777777
6.2	0.9411764705882353	17	89.47058823529412
6.6	0.9230769230769231	13	103.38461538461539
7.3	0.875	8	75.0
5.4	0.8085106382978723	47	86.87234042553192
5.6	0.8387096774193549	31	98.48387096774194
7.5	0.9090909090909091	11	118.54545454545455
6.0	0.9411764705882353	17	103.70588235294117
7.4	1.0	5	135.8
6.7	1.0	13	115.0
4.9	0.8846153846153846	52	80.4423076923077
6.8	1.0	11	105.54545454545455
6.9	0.6	10	109.7
7.9	0.8	5	155.8
8.9	1.0	1	106.0
8.2	1.0	4	182.0
11.1	1.0	3	227.0
7.2	1.0	5	157.4
8.8	1.0	3	247.0
7.1	0.7142857142857143	7	131.0
9.3	1.0	2	137.0
6.5	0.9473684210526315	19	85.47368421052632
8.5	1.0	2	134.5
8.7	1.0	1	276.0
9.6	1.0	3	94.33333333333333
11.2	1.0	1	127.0
8.3	0.75	4	68.0
8.6	1.0	4	154.5
10.1	1.0	2	110.5
10.2	1.0	1	127.0
9.0	1.0	2	164.0
10.3	1.0	1	162.0
10.7	1.0	1	183.0
7.8	1.0	2	99.5
8.4	1.0	5	89.8
11.6	1.0	1	186.0
11.7	1.0	1	163.0
9.7	1.0	1	173.0
15.0	1.0	1	281.0
9.9	1.0	2	91.5
12.7	1.0	1	127.0
11.9	1.0	2	148.5
9.2	1.0	2	136.5
10.0	1.0	1	234.0
15.2	1.0	1	350.0
11.5	1.0	1	249.0
9.8	1.0	1	293.0
9.1	1.0	1	83.0
10.8	0.0	1	94.0
10.9	1.0	1	100.0
10.6	1.0	1	61.0
