p	linkRatio	samplenum
0.1	0.04268954066647164	1275043	3.191653928534175
0.0	0.009482019928130055	14262151	0.4080310887186652
0.2	0.0759370501919601	396697	5.4766358202860115
1.0	0.28398170852939225	15089	19.562131353966464
0.3	0.10716710258339868	190021	7.564863883465511
0.5	0.16555115818880223	68728	11.31908392503783
1.2	0.33387605576472984	9827	22.517655439096366
0.4	0.13526765590646073	108703	9.481155073917003
0.6	0.19194568413037502	47279	13.034433892425813
1.3	0.35737905695039807	8165	23.70238824249847
0.9	0.2645975802209363	19010	17.984744871120462
2.5	0.5092198581560283	1410	38.1822695035461
3.3	0.5559105431309904	626	42.924920127795524
1.5	0.38616965685420657	5741	26.4196133077861
2.8	0.5519713261648745	1116	39.97043010752688
1.1	0.3087693441414886	12213	20.866945058544175
1.7	0.41313976377952755	4064	28.262795275590552
0.7	0.21285176289179492	33723	14.778548764937876
0.8	0.2386176411492867	24885	16.384729756881654
2.2	0.498539435248296	2054	33.80671859785784
1.8	0.44591549295774646	3550	29.463943661971832
1.6	0.3977367979882649	4772	27.56035205364627
2.3	0.506885593220339	1888	35.86652542372882
1.4	0.35451749890174256	6829	24.597305608434617
2.1	0.48080357142857144	2240	34.29821428571429
2.9	0.5558011049723757	905	40.447513812154696
4.9	0.6617647058823529	204	60.59803921568628
2.6	0.5433070866141733	1270	39.02755905511811
2.4	0.511015911872705	1634	36.03671970624235
1.9	0.4404423380726698	3165	30.39905213270142
3.1	0.552414605418139	849	42.78445229681979
2.0	0.4685418208734271	2702	32.275721687638786
3.2	0.5956204379562043	685	42.65109489051095
3.8	0.6220095693779905	418	46.21291866028708
5.9	0.7403846153846154	104	67.25
3.0	0.5850111856823266	894	42.62527964205817
5.7	0.753731343283582	134	59.75373134328358
3.9	0.6077481840193705	413	47.3317191283293
3.4	0.6197411003236246	618	46.24110032362459
4.0	0.6710182767624021	383	51.13577023498694
2.7	0.5172711571675302	1158	37.392055267702936
5.4	0.7398373983739838	123	63.34959349593496
4.4	0.7297297297297297	296	57.442567567567565
4.7	0.7085201793721974	223	63.53811659192825
3.6	0.6231343283582089	536	46.76679104477612
4.3	0.6712328767123288	292	52.89383561643836
11.5	0.8888888888888888	9	99.33333333333333
5.1	0.7748344370860927	151	62.086092715231786
6.4	0.7951807228915663	83	76.855421686747
8.3	0.84	25	97.16
9.6	0.9047619047619048	21	85.19047619047619
4.1	0.596100278551532	359	51.22562674094708
5.5	0.7985074626865671	134	67.76865671641791
4.2	0.627906976744186	344	52.56976744186046
6.2	0.7317073170731707	82	64.07317073170732
13.8	1.0	3	132.33333333333334
5.3	0.7625	160	62.81875
4.5	0.6327272727272727	275	53.57818181818182
12.4	0.8	10	126.0
3.5	0.6449912126537786	569	46.966608084358526
6.0	0.7012987012987013	77	66.74025974025975
4.8	0.7005649717514124	177	56.6271186440678
9.8	0.9	10	71.4
6.7	0.7215189873417721	79	67.21518987341773
7.1	0.8076923076923077	52	75.76923076923077
5.8	0.711864406779661	118	66.77118644067797
11.8	0.8	10	99.8
3.7	0.6079664570230608	477	49.121593291404615
7.3	0.88	50	89.68
7.8	0.7352941176470589	34	79.76470588235294
5.6	0.7407407407407407	108	66.61111111111111
5.0	0.7336956521739131	184	58.391304347826086
7.4	0.8125	48	78.10416666666667
6.9	0.8125	64	70.0
6.6	0.7662337662337663	77	79.01298701298701
7.2	0.7954545454545454	44	72.6590909090909
6.5	0.7704918032786885	61	76.59016393442623
7.5	0.7551020408163265	49	78.51020408163265
5.2	0.7423312883435583	163	61.95092024539877
7.0	0.7457627118644068	59	77.69491525423729
4.6	0.6652542372881356	236	53.894067796610166
6.1	0.7974683544303798	79	66.89873417721519
6.3	0.7058823529411765	68	65.52941176470588
9.3	0.9473684210526315	19	107.26315789473684
11.0	0.9333333333333333	15	97.73333333333333
10.9	0.875	16	77.0625
10.0	0.8461538461538461	13	126.15384615384616
11.1	1.0	11	110.0
9.0	0.8	15	73.06666666666666
7.9	0.6888888888888889	45	71.73333333333333
18.8	1.0	2	137.0
8.1	0.8275862068965517	29	85.58620689655173
9.1	0.875	16	84.375
8.0	0.8666666666666667	30	78.46666666666667
8.4	0.7307692307692307	26	81.26923076923077
10.1	0.7272727272727273	11	105.63636363636364
7.6	0.7297297297297297	37	72.83783783783784
10.3	0.9333333333333333	15	88.06666666666666
9.7	0.8888888888888888	18	105.83333333333333
9.2	0.7692307692307693	26	93.42307692307692
8.9	0.875	24	76.75
19.1	1.0	2	74.5
12.0	0.7142857142857143	7	92.57142857142857
12.7	1.0	2	230.0
11.6	0.8181818181818182	11	81.72727272727273
8.2	0.8620689655172413	29	73.51724137931035
12.1	0.75	4	112.75
9.4	0.7777777777777778	18	72.94444444444444
10.5	0.8461538461538461	13	98.76923076923077
10.6	0.9090909090909091	11	106.45454545454545
11.9	1.0	6	103.16666666666667
10.8	0.8181818181818182	11	80.54545454545455
7.7	0.8055555555555556	36	89.16666666666667
15.1	1.0	3	113.33333333333333
13.1	1.0	4	94.75
11.3	1.0	5	97.4
12.5	1.0	5	103.0
8.6	0.9565217391304348	23	91.6086956521739
16.5	1.0	2	156.5
6.8	0.8	50	82.24
17.0	1.0	2	218.0
8.8	0.8260869565217391	23	94.52173913043478
17.8	1.0	2	200.0
8.5	0.9032258064516129	31	92.09677419354838
12.3	1.0	1	208.0
14.8	1.0	3	164.0
20.6	1.0	1	224.0
8.7	1.0	17	93.52941176470588
20.0	1.0	2	241.5
15.0	0.3333333333333333	3	113.33333333333333
9.5	0.7647058823529411	17	91.17647058823529
11.2	0.9166666666666666	12	115.58333333333333
11.4	0.9090909090909091	11	102.45454545454545
13.5	1.0	4	117.5
14.5	1.0	1	113.0
10.4	0.9333333333333333	15	92.93333333333334
20.3	1.0	1	144.0
14.9	0.6	5	115.0
15.2	1.0	4	142.5
14.2	1.0	5	128.0
13.0	1.0	5	117.2
15.4	1.0	2	144.5
10.2	0.9166666666666666	12	105.91666666666667
9.9	0.7272727272727273	11	84.18181818181819
16.8	1.0	2	84.5
14.7	1.0	2	133.5
16.0	1.0	1	276.0
19.7	1.0	1	117.0
18.9	0.6666666666666666	3	132.33333333333334
15.5	1.0	1	55.0
12.2	1.0	8	91.25
10.7	0.8	5	88.8
14.6	0.5	2	123.5
16.1	1.0	2	84.0
12.9	0.8333333333333334	6	92.16666666666667
13.6	1.0	1	80.0
21.3	1.0	1	141.0
18.7	1.0	2	140.5
21.5	1.0	2	144.5
11.7	1.0	6	105.33333333333333
15.8	1.0	1	97.0
14.0	1.0	2	55.0
17.7	1.0	1	132.0
17.2	1.0	1	86.0
13.4	0.6666666666666666	6	109.83333333333333
13.7	1.0	3	92.33333333333333
23.4	1.0	2	184.5
19.4	1.0	2	135.5
18.0	1.0	3	106.66666666666667
13.2	0.8	5	127.8
17.1	1.0	2	152.5
13.3	1.0	3	137.66666666666666
23.6	1.0	2	145.0
19.5	1.0	2	188.0
21.7	1.0	1	192.0
31.7	1.0	1	281.0
24.6	1.0	1	209.0
16.4	1.0	2	124.5
15.7	1.0	1	113.0
17.4	1.0	1	130.0
25.1	1.0	1	234.0
13.9	1.0	1	161.0
14.1	1.0	2	132.0
19.9	1.0	1	146.0
14.3	1.0	2	105.5
19.6	1.0	1	215.0
37.8	1.0	1	350.0
15.9	1.0	2	154.5
27.0	1.0	1	249.0
16.2	1.0	1	160.0
18.6	1.0	1	293.0
19.0	1.0	1	83.0
12.8	0.6666666666666666	3	70.0
21.2	1.0	1	181.0
16.9	1.0	1	85.0
21.8	1.0	1	100.0
18.4	1.0	1	207.0
21.4	1.0	1	138.0
20.9	1.0	1	88.0
