p	linkRatio	samplenum
0.1	0.0705579764265965	1010885	5.172947466823625
0.0	0.010762483582029483	15106922	0.5206486139267814
0.2	0.15705773710636955	215494	10.873662375750602
0.3	0.23629230250806335	83092	16.024069705868193
0.4	0.3126272418807562	41260	21.006858943286478
0.5	0.3784586255862989	23239	25.73832781100736
0.6	0.4473665852807813	14335	30.1625392396233
1.4	0.7569377990430622	1045	62.03732057416268
0.7	0.48833592534992226	9002	34.40613197067319
1.3	0.7174629324546952	1214	56.09143327841845
0.9	0.5915460065390005	4282	41.659037832788414
0.8	0.5398647586098443	6359	38.53766315458405
1.1	0.6478632478632479	2340	49.424358974358974
1.0	0.6261061946902655	3164	45.65960809102402
1.2	0.6807760141093474	1701	52.02880658436214
1.6	0.7623931623931623	585	65.32307692307693
2.2	0.888235294117647	170	90.38823529411765
2.1	0.8009708737864077	206	76.00485436893204
1.9	0.8419243986254296	291	72.1340206185567
1.5	0.7178807947019867	755	62.397350993377486
1.7	0.7708737864077669	515	67.93398058252427
2.3	0.8050847457627118	118	79.49152542372882
2.0	0.8205128205128205	234	74.77777777777777
1.8	0.810304449648712	427	74.64871194379391
2.7	0.8214285714285714	56	77.07142857142857
2.8	0.8163265306122449	49	90.18367346938776
2.4	0.8461538461538461	104	86.83653846153847
3.1	0.9285714285714286	42	88.26190476190476
3.6	0.8888888888888888	9	168.77777777777777
2.6	0.8292682926829268	82	86.1951219512195
3.4	1.0	18	92.33333333333333
4.1	1.0	4	80.0
3.8	0.9230769230769231	13	97.0
3.7	0.8571428571428571	14	94.0
2.9	0.9487179487179487	39	85.97435897435898
3.5	0.9166666666666666	12	128.0
3.2	0.9583333333333334	24	91.79166666666667
2.5	0.8571428571428571	91	87.47252747252747
3.3	0.8695652173913043	23	97.34782608695652
3.0	0.8333333333333334	30	111.4
4.8	1.0	1	351.0
4.0	1.0	3	201.33333333333334
3.9	0.875	8	118.625
4.2	1.0	4	139.75
5.4	1.0	1	127.0
4.3	1.0	4	112.0
4.4	1.0	1	141.0
4.5	1.0	6	128.16666666666666
4.6	1.0	3	99.0
5.0	1.0	3	107.66666666666667
5.2	1.0	5	159.2
6.4	1.0	1	281.0
6.0	1.0	1	127.0
5.8	1.0	2	219.0
5.3	0.0	1	94.0
5.7	1.0	1	61.0
