p	linkRatio	samplenum
0.6	0.004263032771276515	1507143
0.0	4.938320378472874e-06	1012490
1.0	0.008670780257761716	533516
3.7	0.039744034539917504	25941
10.2	0.16178521617852162	1434
1.2	0.010502925987823162	372182
0.2	0.0006989123140599191	5135122
1.8	0.01734154870039837	147853
0.1	0.0001527733611633398	5622708
5.4	0.062395433520322806	10161
2.9	0.028808907402721275	51373
0.4	0.0023571517601182314	2808050
0.5	0.0034458649872191474	1983827
0.3	0.0015808453725710116	3594912
0.8	0.00625801066416103	876956
3.6	0.03508891231172011	29411
1.3	0.011747244873588318	293090
6.0	0.06869716892526499	7453
1.1	0.009111438561003042	458764
3.0	0.031517273890497674	44547
4.0	0.04512890714122747	21915
1.4	0.012860228926326527	266636
2.4	0.02290086102119929	78163
1.7	0.016113052727549006	164525
0.9	0.007178303552671175	704484
0.7	0.005399622054246332	1079520
2.3	0.023606753324368745	80316
3.2	0.03178629668935884	38633
5.5	0.06815715215975689	9214
3.5	0.03662798364763286	30332
3.1	0.0293711853705306	42763
2.7	0.026484678658591703	55315
1.9	0.016901470361985978	136497
1.6	0.01442205404091061	197406
2.2	0.021574043925341624	95207
2.8	0.027976990886000298	53544
2.0	0.019560242588773744	114927
1.5	0.014359597584042252	218878
4.1	0.04317019379663085	21311
2.6	0.025281895448024803	64829
2.5	0.024778139003602494	68286
10.3	0.16913946587537093	1348
9.9	0.1444582814445828	1606
8.5	0.13912009512485138	2523
4.6	0.0448811410459588	15775
22.6	0.38372093023255816	86
7.1	0.09108239779707689	4721
6.2	0.07835051546391752	6790
13.0	0.24464831804281345	654
4.8	0.054684095860566447	13770
3.8	0.03927636277076887	25206
11.1	0.1899810964083176	1058
8.4	0.11123348017621146	2724
6.4	0.07720182763510319	6347
13.8	0.24453280318091453	503
6.6	0.07985512245601932	5798
3.4	0.03476753071180862	34026
5.3	0.059365708622398414	10090
38.0	1.0	7
12.9	0.21428571428571427	658
15.5	0.27884615384615385	312
7.9	0.10160116448326055	3435
13.6	0.21323529411764705	544
3.3	0.03266666666666666	34500
4.7	0.053122350946595086	14156
2.1	0.020234775277255333	107933
6.8	0.09284073506891272	5224
7.4	0.0970111448834853	3948
7.2	0.09538737124944022	4466
4.2	0.04424146553043833	19597
9.1	0.1480392156862745	2040
17.9	0.22043010752688172	186
12.5	0.2215568862275449	668
5.0	0.05838701785859904	12263
3.9	0.04226393395490204	24347
7.5	0.10694231750893313	3918
6.9	0.08941819601718079	5122
9.4	0.14278323848939473	1933
13.1	0.19418960244648317	654
5.2	0.061605363290451166	11038
16.6	0.28825622775800713	281
5.8	0.06927415399705739	8156
4.5	0.04789178649768462	16412
8.3	0.12622456669178597	2654
5.7	0.06878118317890235	8418
6.3	0.07406827435014093	6386
6.5	0.08668039821489873	5826
8.1	0.11069535391331463	3207
9.8	0.15823529411764706	1700
5.9	0.06776980167903637	8219
5.6	0.06850071815269031	9051
7.6	0.10398749022673964	3837
13.2	0.24172185430463577	604
14.9	0.2608695652173913	414
8.8	0.1399914639351259	2343
7.8	0.10537069468768243	3426
24.4	0.5	50
7.0	0.09244425200259797	4619
5.1	0.05465288035450517	12186
4.4	0.046516930794664235	17542
11.0	0.17473118279569894	1116
10.9	0.17258883248730963	1182
9.7	0.15384615384615385	1664
14.5	0.2396088019559902	409
10.4	0.13933236574746008	1378
11.3	0.1744186046511628	1032
10.1	0.15115511551155114	1515
9.6	0.1523708044752264	1877
19.6	0.3931034482758621	145
15.9	0.2966666666666667	300
8.2	0.11456953642384106	3020
9.3	0.147074327886136	1897
6.1	0.07180598834846227	7381
12.1	0.21112372304199772	881
9.2	0.13203883495145632	2060
11.7	0.21133412042502953	847
4.9	0.05337837837837838	13320
6.7	0.08816402609506058	5365
8.9	0.1243220692532332	2397
8.6	0.12919398380254532	2593
7.3	0.09102338446064873	3977
11.9	0.20199778024417314	901
4.3	0.04889241402753385	17651
12.3	0.17786561264822134	759
7.7	0.10652920962199312	3492
8.0	0.12417270721714466	3173
10.8	0.17557861133280128	1253
12.4	0.20488466757123475	737
8.7	0.11426188490408674	2398
47.9	1.0	1
12.8	0.2343987823439878	657
10.6	0.16253869969040247	1292
23.8	0.5068493150684932	73
17.0	0.2681818181818182	220
21.2	0.3333333333333333	120
17.7	0.3081081081081081	185
20.7	0.3482142857142857	112
10.0	0.1558861578266494	1546
17.2	0.32217573221757323	239
28.1	0.6666666666666666	27
19.3	0.3880597014925373	134
18.3	0.29559748427672955	159
20.9	0.3177570093457944	107
26.8	0.5833333333333334	36
9.5	0.1527700055959709	1787
11.2	0.19887429643527205	1066
23.0	0.3972602739726027	73
17.3	0.3177083333333333	192
16.5	0.30597014925373134	268
15.3	0.27076923076923076	325
14.3	0.24545454545454545	440
13.4	0.2140221402214022	542
15.8	0.310580204778157	293
24.0	0.45161290322580644	62
20.6	0.3211009174311927	109
17.8	0.35751295336787564	193
14.8	0.2857142857142857	385
24.5	0.54	50
15.6	0.23049645390070922	282
