p	linkRatio	samplenum
0.1	5.181696430928539e-05	8144051
0.7	0.008579473690309274	431495
1.3	0.05180954306510312	118704
3.3	0.10452517527087317	12552
0.0	2.690223265933197e-06	9292909
0.3	0.0011978120353523733	2068772
0.9	0.030614309326676057	261969
0.4	0.002337434511533082	1265490
0.8	0.011101518707214163	328964
0.2	0.00040553622354203185	3822100
0.5	0.003884589259003258	837669
4.4	0.13141447368421053	6080
0.6	0.006274485798237022	588096
1.0	0.04345805252149663	210847
3.0	0.09702392283774351	15759
3.1	0.099398608014055	14799
1.5	0.05602857644785384	85385
1.1	0.04797266673639438	172098
1.6	0.060276826908766186	73909
1.4	0.055164354418242294	100119
2.0	0.06796364142280759	43126
2.1	0.07280117305070358	38873
1.8	0.06400042965323403	55859
5.3	0.14842903575297942	3692
6.1	0.15744852644327817	2477
2.8	0.09028104883027163	19107
2.5	0.0835960256972986	25061
2.9	0.08872956696300545	17435
1.2	0.05042289258528334	141880
1.9	0.06524356645782739	49001
1.7	0.06158761982331934	63844
3.2	0.09852145690587812	13865
4.2	0.12665181885671864	6735
2.2	0.07432354301572618	34592
2.7	0.08633441291632427	20687
4.1	0.1193118756936737	7208
3.6	0.10810008901196716	10111
2.4	0.0805797725397338	27873
4.0	0.11123882503192849	7830
4.7	0.1277021617293835	4996
3.4	0.10669910504822314	11509
2.3	0.07755115213322146	30986
10.6	0.24358974358974358	546
3.7	0.11264106015115437	9659
6.6	0.17558022199798184	1982
3.8	0.12211516916872059	8926
9.4	0.21908602150537634	744
7.1	0.19776119402985073	1608
5.4	0.15604719764011798	3390
11.1	0.26014319809069214	419
6.4	0.15049226441631505	2133
4.8	0.13415655085809963	4778
8.5	0.20267489711934156	972
2.6	0.086570140454309	23068
4.3	0.12573643410852714	6450
7.8	0.1846986089644513	1294
3.9	0.1143272374954584	8257
5.7	0.15563025210084033	2975
5.6	0.15752325954443375	3117
4.5	0.1346562721474132	5644
3.5	0.10733583661507463	10919
4.9	0.13850904278782533	4534
6.5	0.16451612903225807	2170
7.0	0.1977699530516432	1704
6.2	0.15993336109954187	2401
5.0	0.14162990480612955	4307
10.4	0.20512820512820512	546
7.3	0.2045307443365696	1545
18.4	0.4158415841584158	101
5.1	0.1453034500125913	3971
9.0	0.22569444444444445	864
8.9	0.22857142857142856	875
14.2	0.33771929824561403	228
31.6	0.5333333333333333	15
10.7	0.24217118997912318	479
10.8	0.23835125448028674	558
12.0	0.21882951653944022	393
14.7	0.32663316582914576	199
13.3	0.25732899022801303	307
5.9	0.16066884769174847	2751
6.9	0.18166089965397925	1734
