p	linkRatio	samplenum
1.5	0.029049632762074337	112325
0.2	0.00041360003006716943	5667311
0.4	0.004297148333570588	1995044
0.3	0.00203019837715922	3338590
0.1	1.1888645531322992e-05	8495501
2.0	0.037539085017555505	57247
1.8	0.034028299952149836	73145
4.2	0.10257633587786259	8384
5.4	0.15541369997544807	4073
8.0	0.27074939564867045	1241
0.8	0.012731258069635864	466254
0.6	0.008453093179025345	866665
0.9	0.014650786437145992	360868
1.0	0.016634820726087445	284704
0.7	0.01054392310423894	622349
25.1	0.8518518518518519	27
2.3	0.04469205037386856	40656
0.5	0.006485158616792503	1274140
1.6	0.030823225806451613	96875
1.3	0.023961435760501183	155792
3.6	0.08328100470957614	12740
1.4	0.02580266934667245	131343
2.5	0.049682650551185883	32929
1.2	0.02167068863567353	187719
3.3	0.07209932564441923	15867
5.2	0.14884135472370766	4488
4.4	0.11003861003861004	7252
0.0	0.0	3472441
2.4	0.0481651376146789	36624
2.2	0.043186201698184316	45107
2.8	0.059735829598191265	25211
1.9	0.03602215790620235	64266
8.1	0.2649285113540791	1189
2.9	0.05884677879759343	22771
2.1	0.04041434513065997	50972
7.9	0.2663316582914573	1194
1.1	0.019828718266415954	229213
2.7	0.05453944468929044	27228
5.1	0.14160988074957412	4696
1.7	0.03166706529538388	83620
3.0	0.06159717860766221	20699
12.3	0.386986301369863	292
3.5	0.07916605919230209	13718
4.1	0.09939421135292797	8914
9.2	0.31723237597911225	766
3.8	0.09314942528735633	10875
3.2	0.06647646219686162	17525
4.9	0.13448660714285715	5376
2.6	0.05278397177754851	30047
3.4	0.07551594746716699	14924
5.3	0.15583524027459955	4370
3.1	0.06419438697013104	18849
4.5	0.11342291576361797	6921
6.9	0.21069182389937108	1908
4.8	0.11362850224835697	5782
3.9	0.09849495141931797	10498
5.8	0.1653708133971292	3344
4.6	0.11821232458816351	6556
6.4	0.18989405052974734	2454
6.8	0.20459081836327345	2004
4.0	0.09014373716632444	9740
3.7	0.08544277184425196	11891
4.7	0.1218868546923965	6063
16.3	0.5299145299145299	117
6.1	0.17690327326222877	2719
19.3	0.5370370370370371	54
10.4	0.36594202898550726	552
4.3	0.10436016511867906	7752
12.9	0.44357976653696496	257
10.6	0.3807531380753138	478
13.8	0.42410714285714285	224
9.3	0.33962264150943394	742
6.7	0.2066438690766976	2047
6.3	0.17810392701309005	2521
5.9	0.15808580858085808	3030
9.8	0.345565749235474	654
5.5	0.148451497312516	3907
6.2	0.18324022346368715	2685
15.7	0.5277777777777778	108
11.3	0.4166666666666667	432
6.0	0.17446102819237147	3015
7.6	0.24616457461645747	1434
7.2	0.22648292390653085	1669
7.1	0.22591181273816005	1837
8.6	0.2950310559006211	966
8.7	0.3188559322033898	944
7.0	0.23479188900747064	1874
8.3	0.2926596758817922	1049
20.2	0.711864406779661	59
14.3	0.5257142857142857	175
5.7	0.15673613149398297	3407
8.9	0.32930845225027444	911
18.8	0.6486486486486487	74
6.5	0.19758232596915382	2399
5.0	0.13680909447275577	5102
11.5	0.39487179487179486	390
9.6	0.3258741258741259	715
16.1	0.5190839694656488	131
9.5	0.3486111111111111	720
11.8	0.40166204986149584	361
33.7	0.9333333333333333	15
10.7	0.35984848484848486	528
18.5	0.5625	80
22.3	0.8536585365853658	41
7.4	0.23956326268464997	1557
24.2	0.6470588235294118	34
7.7	0.24299719887955182	1428
24.6	0.8076923076923077	26
10.3	0.33268858800773693	517
23.2	0.5833333333333334	24
27.2	0.9130434782608695	23
38.5	1.0	9
8.2	0.26109660574412535	1149
7.5	0.23134839151266257	1461
22.4	0.813953488372093	43
8.4	0.28668610301263364	1029
10.1	0.3880070546737213	567
36.5	1.0	8
18.9	0.5789473684210527	76
12.0	0.38292011019283745	363
10.9	0.3490990990990991	444
11.2	0.4046997389033943	383
11.0	0.35964912280701755	456
20.6	0.6	50
5.6	0.15487465181058496	3590
10.5	0.3481624758220503	517
15.5	0.4765625	128
8.8	0.3175303197353914	907
13.6	0.43891402714932126	221
11.7	0.3380681818181818	352
9.1	0.31889290012033694	831
6.6	0.19578853046594982	2232
12.8	0.46621621621621623	296
8.5	0.2756598240469208	1023
7.3	0.24043062200956938	1672
27.0	0.9166666666666666	24
11.1	0.3923766816143498	446
10.0	0.368	625
28.3	0.8333333333333334	24
15.1	0.5308641975308642	162
10.8	0.3697813121272366	503
23.5	0.75	24
10.2	0.37397034596375617	607
9.0	0.2913472070098576	913
14.6	0.4594594594594595	148
32.3	0.9523809523809523	21
18.4	0.6071428571428571	84
12.1	0.3627450980392157	306
13.0	0.4163265306122449	245
13.3	0.39915966386554624	238
15.6	0.4076923076923077	130
14.0	0.4635416666666667	192
22.6	0.75	32
19.0	0.6714285714285714	70
39.2	1.0	3
12.7	0.42105263157894735	266
20.5	0.660377358490566	53
36.3	0.875	8
24.0	0.8181818181818182	33
7.8	0.24691358024691357	1377
15.3	0.5136986301369864	146
23.9	0.7037037037037037	27
9.9	0.35379644588045234	619
24.4	0.8064516129032258	31
9.4	0.33643617021276595	752
11.9	0.4318840579710145	345
13.4	0.41350210970464135	237
12.6	0.4196078431372549	255
11.6	0.41025641025641024	351
13.7	0.47533632286995514	223
9.7	0.3537117903930131	687
42.8	1.0	6
12.4	0.3993055555555556	288
13.9	0.42790697674418604	215
30.7	0.9166666666666666	12
17.7	0.5189873417721519	79
20.1	0.703125	64
16.2	0.5423728813559322	118
14.7	0.49411764705882355	170
39.7	1.0	7
20.8	0.7704918032786885	61
14.4	0.4	170
49.1	1.0	1
26.9	0.8461538461538461	13
15.0	0.46835443037974683	158
31.6	0.9090909090909091	11
14.5	0.4479166666666667	192
31.4	1.0	10
27.8	0.8636363636363636	22
15.8	0.5317460317460317	126
18.2	0.6547619047619048	84
16.8	0.45454545454545453	88
36.7	1.0	9
32.0	1.0	18
29.3	1.0	22
17.3	0.5229357798165137	109
19.6	0.6779661016949152	59
12.5	0.43508771929824563	285
26.0	0.9545454545454546	22
22.8	0.7	40
18.0	0.5789473684210527	76
16.9	0.5416666666666666	120
16.0	0.5384615384615384	130
24.5	0.7096774193548387	31
11.4	0.38441558441558443	385
25.7	0.7894736842105263	19
13.5	0.44166666666666665	240
21.3	0.7941176470588235	34
19.5	0.6323529411764706	68
14.8	0.46107784431137727	167
30.0	0.9473684210526315	19
14.1	0.4175824175824176	182
25.4	0.6923076923076923	26
16.6	0.4745762711864407	118
13.2	0.4392523364485981	214
21.1	0.64	50
33.3	1.0	12
16.5	0.6179775280898876	89
28.5	0.9444444444444444	18
17.6	0.550561797752809	89
14.2	0.48214285714285715	168
17.9	0.5844155844155844	77
12.2	0.44370860927152317	302
19.7	0.660377358490566	53
18.7	0.5161290322580645	62
14.9	0.5144927536231884	138
15.4	0.5422535211267606	142
31.8	1.0	14
17.1	0.4326923076923077	104
21.0	0.7837837837837838	37
23.1	0.8125	32
22.7	0.7105263157894737	38
19.2	0.6153846153846154	52
13.1	0.4192139737991266	229
19.4	0.6521739130434783	69
23.4	0.7272727272727273	33
27.1	0.8695652173913043	23
21.9	0.6666666666666666	57
32.7	0.8636363636363636	22
15.2	0.45569620253164556	158
22.5	0.6060606060606061	33
41.0	1.0	6
28.8	0.9090909090909091	11
18.1	0.6829268292682927	82
20.7	0.7142857142857143	56
19.9	0.6271186440677966	59
35.3	1.0	8
19.8	0.5737704918032787	61
17.2	0.5192307692307693	104
17.5	0.5138888888888888	72
27.5	0.9333333333333333	15
21.7	0.7575757575757576	33
18.6	0.49382716049382713	81
26.6	0.9333333333333333	30
29.0	0.9333333333333333	15
17.8	0.5443037974683544	79
32.5	1.0	11
23.3	0.8888888888888888	36
16.7	0.425531914893617	94
42.4	1.0	5
28.1	0.8235294117647058	17
22.1	0.7608695652173914	46
24.9	0.8214285714285714	28
32.9	1.0	12
40.0	1.0	5
35.9	1.0	12
19.1	0.6521739130434783	69
28.9	0.96	25
34.6	1.0	12
22.0	0.6595744680851063	47
29.2	0.9565217391304348	23
31.9	0.9230769230769231	13
36.8	1.0	6
37.0	1.0	5
30.3	1.0	10
35.4	1.0	10
20.3	0.75	52
17.0	0.5760869565217391	92
21.8	0.7105263157894737	38
18.3	0.5921052631578947	76
15.9	0.5315315315315315	111
16.4	0.5445544554455446	101
20.4	0.6349206349206349	63
28.4	0.9285714285714286	14
23.7	0.8	40
25.8	0.7222222222222222	18
25.2	0.7777777777777778	27
36.4	1.0	10
30.9	1.0	13
42.3	1.0	6
26.2	0.9411764705882353	17
45.0	1.0	1
22.9	0.8292682926829268	41
47.9	1.0	1
29.7	0.8888888888888888	18
27.4	1.0	8
28.6	0.8823529411764706	17
25.6	0.875	24
21.5	0.8148148148148148	54
47.6	1.0	1
40.9	1.0	6
29.8	0.8823529411764706	17
23.0	0.7647058823529411	34
30.6	1.0	13
43.1	1.0	2
25.5	0.8095238095238095	21
29.9	0.9285714285714286	14
39.3	1.0	9
25.3	0.9642857142857143	28
27.7	0.7222222222222222	18
24.3	0.8620689655172413	29
34.3	0.9444444444444444	18
20.0	0.6052631578947368	38
33.4	0.9411764705882353	17
23.8	0.7037037037037037	27
23.6	0.7931034482758621	29
32.1	1.0	15
46.4	1.0	2
49.9	1.0	1
36.0	1.0	10
25.9	1.0	23
31.7	1.0	19
33.0	1.0	14
38.9	1.0	5
24.7	0.9583333333333334	24
27.9	0.8888888888888888	18
36.6	1.0	7
35.1	1.0	12
34.1	1.0	12
21.2	0.6216216216216216	37
35.7	1.0	14
34.9	1.0	11
22.2	0.8717948717948718	39
42.0	1.0	9
34.7	1.0	14
50.9	1.0	2
28.2	0.9333333333333333	15
32.4	1.0	13
25.0	0.7142857142857143	21
29.6	0.9333333333333333	15
20.9	0.7272727272727273	44
39.6	0.875	8
17.4	0.5952380952380952	84
43.8	1.0	3
49.2	1.0	2
43.5	1.0	5
31.3	0.9166666666666666	12
41.2	1.0	5
21.4	0.7674418604651163	43
28.0	0.85	20
30.1	0.8235294117647058	17
39.9	1.0	6
24.8	0.8214285714285714	28
45.9	1.0	2
34.2	1.0	10
29.1	0.9565217391304348	23
38.0	1.0	7
30.5	1.0	16
45.3	1.0	3
42.9	1.0	6
26.5	0.875	16
44.9	1.0	2
26.4	0.8095238095238095	21
38.3	1.0	2
40.1	1.0	7
36.1	1.0	20
37.6	1.0	10
29.4	1.0	10
31.5	1.0	8
31.2	0.9473684210526315	19
37.5	1.0	6
31.0	0.9333333333333333	15
37.7	1.0	13
21.6	0.782608695652174	46
33.1	0.9473684210526315	19
24.1	0.7142857142857143	28
33.5	1.0	15
43.9	1.0	3
38.2	0.875	8
33.6	1.0	11
30.8	0.85	20
44.3	1.0	3
39.4	1.0	12
27.6	0.875	16
30.4	1.0	14
27.3	0.8846153846153846	26
32.6	1.0	11
36.2	1.0	10
32.8	0.9166666666666666	12
26.3	0.8666666666666667	15
42.1	1.0	6
32.2	1.0	14
37.2	1.0	6
47.1	1.0	5
40.5	1.0	5
26.8	0.8333333333333334	18
26.7	0.8947368421052632	19
34.8	1.0	10
39.0	1.0	9
44.0	1.0	1
31.1	0.8	10
37.4	1.0	7
35.8	1.0	7
40.3	1.0	4
40.8	1.0	3
34.5	1.0	11
28.7	1.0	17
35.5	1.0	14
35.6	1.0	9
29.5	1.0	11
40.2	1.0	3
34.4	1.0	9
40.4	1.0	4
38.6	1.0	8
41.1	1.0	5
37.1	1.0	8
37.9	1.0	8
47.3	1.0	2
57.9	1.0	1
42.7	1.0	2
37.8	1.0	9
56.2	1.0	1
36.9	1.0	8
42.2	1.0	5
38.1	1.0	7
41.9	1.0	4
33.8	1.0	11
35.0	1.0	12
38.8	1.0	4
33.9	1.0	12
33.2	1.0	11
26.1	0.7058823529411765	17
41.8	1.0	3
51.0	1.0	3
44.4	1.0	4
42.6	1.0	5
38.4	1.0	4
41.3	1.0	5
53.4	1.0	1
46.7	1.0	3
46.1	1.0	1
52.0	1.0	1
45.4	1.0	1
37.3	1.0	6
45.5	1.0	2
41.6	1.0	3
45.8	1.0	4
34.0	1.0	9
43.6	1.0	1
53.5	1.0	2
48.7	1.0	1
49.6	1.0	1
30.2	1.0	10
43.2	1.0	2
35.2	1.0	5
41.4	1.0	3
39.1	1.0	6
38.7	1.0	8
41.5	1.0	2
57.4	1.0	1
51.4	1.0	1
49.5	1.0	2
46.9	1.0	1
39.8	1.0	3
40.6	1.0	4
40.7	1.0	3
53.3	1.0	2
43.3	1.0	4
52.9	1.0	1
45.6	1.0	2
44.1	1.0	2
47.2	1.0	1
50.4	1.0	1
49.0	1.0	1
43.7	1.0	2
52.3	1.0	1
48.8	1.0	1
44.5	1.0	1
53.0	1.0	1
41.7	1.0	4
46.5	1.0	2
48.4	1.0	1
43.0	1.0	1
46.6	1.0	2
39.5	1.0	1
52.2	1.0	1
50.2	1.0	1
48.1	1.0	1
51.6	1.0	1
43.4	1.0	3
47.7	1.0	2
53.6	1.0	1
55.7	1.0	1
44.7	1.0	2
48.6	1.0	1
42.5	1.0	4
52.8	1.0	1
47.5	1.0	2
46.3	1.0	1
45.2	1.0	1
48.0	1.0	1
47.0	1.0	1
44.8	1.0	1
