p	linkRatio	samplenum
0.0	0.02480578827836602	16851712
0.2	0.44217267552182166	42160
0.1	0.26560008230876075	272146
3.1	0.8	10
1.8	0.7755102040816326	98
0.4	0.6066074403109384	7204
0.3	0.5366379310344828	14848
0.6	0.6560311284046693	2570
1.0	0.7732558139534884	688
0.7	0.7132616487455197	1674
1.3	0.8421052631578947	304
0.5	0.6359691417550627	4148
0.8	0.7406015037593985	1064
0.9	0.729490022172949	902
1.1	0.8230088495575221	452
2.7	1.0	18
1.2	0.77	400
1.6	0.8513513513513513	148
1.4	0.8148148148148148	216
1.7	0.7727272727272727	132
7.6	1.0	4
2.1	0.896551724137931	58
4.8	1.0	2
4.4	1.0	6
3.4	1.0	8
5.5	1.0	2
1.9	0.8974358974358975	78
2.0	0.8867924528301887	106
2.8	1.0	30
2.2	0.9166666666666666	48
3.2	1.0	14
2.3	0.9615384615384616	52
1.5	0.8380952380952381	210
3.0	0.9166666666666666	24
2.4	0.92	50
8.4	1.0	4
3.3	0.6	10
3.5	1.0	6
5.7	1.0	4
10.0	1.0	2
5.2	1.0	4
7.5	1.0	2
6.4	1.0	2
5.0	1.0	2
2.5	1.0	22
4.1	1.0	8
6.2	1.0	2
2.9	0.6	10
4.0	1.0	12
6.3	1.0	2
6.5	1.0	2
2.6	0.8125	32
3.7	1.0	10
7.8	1.0	2
3.6	1.0	2
4.7	0.5	4
8.6	1.0	2
3.8	1.0	8
5.6	1.0	2
4.5	1.0	2
4.3	1.0	2
3.9	1.0	2
4.9	1.0	2
4.2	1.0	2
5.1	1.0	2
4.6	1.0	2
