p	linkRatio	samplenum
0.0	0.0033773839657785026	13032276	0.6718624590209722
0.3	0.0786671684096822	369379	11.401016300331095
0.4	0.09746188387846413	247861	13.598464461936327
2.9	0.2756177785274521	11857	37.1403390402294
0.5	0.11408769898538716	182237	15.663279136509052
17.9	0.5334773218142549	463	82.36717062634989
1.2	0.1878333164351617	49315	25.073466490925682
5.9	0.3533276206798058	3501	47.32047986289631
0.2	0.05802195477297534	623919	8.794417224030683
0.6	0.1265561495042387	140491	17.090746026435855
15.8	0.4874274661508704	517	77.68278529980658
1.6	0.2160031149615497	30819	28.252182095460594
0.7	0.14078344709593485	112222	18.875657179519166
0.1	0.03262673582547503	1385796	5.434479533784193
1.4	0.19857349596857557	38696	26.373759561711804
4.3	0.29783271249576704	5906	42.03521842194379
1.3	0.195532694475761	42576	26.016347237880495
0.8	0.1520217126398582	90270	20.43746538163288
3.8	0.29174585935378766	7366	40.028780885147974
2.3	0.23677538319695748	17354	32.254869194422035
3.3	0.27710334635279216	9473	37.646046658925364
1.1	0.17821128344250298	56029	23.75039711577933
3.0	0.2779469724113221	11164	37.689089931924045
1.8	0.22500486854917234	25675	30.04058422590068
2.7	0.26233099176674973	13239	35.60963819019563
3.4	0.2908745247148289	8942	38.62860657571013
2.1	0.23688877628578667	19735	31.64717506967317
1.5	0.2052713806272422	34564	27.180100682791345
2.8	0.26717496624573106	12591	35.814311810023035
4.8	0.33500200240288347	4994	44.290548658390065
0.9	0.16005930509894928	77565	21.480345516663444
50.0	0.8043478260869565	46	162.97826086956522
7.0	0.360546875	2560	50.726171875
10.8	0.4420485175202156	1113	62.01347708894879
7.6	0.38822992700729925	2192	54.28239051094891
1.9	0.2333135944505541	23642	30.461466880974537
4.7	0.325824935783442	5061	43.545939537640784
2.2	0.23900813807417118	18309	32.04899229886941
4.6	0.3142314990512334	5270	42.88368121442125
1.0	0.1677499845973754	64924	22.481100979606925
1.7	0.2216302046577276	28340	29.455963302752295
3.6	0.29581475978207034	8076	39.2667161961367
2.5	0.24921404244170814	15268	34.01329578202777
4.5	0.31874887000542396	5531	42.82227445308263
10.9	0.43940886699507387	1015	59.9487684729064
9.0	0.40447284345047924	1565	58.07220447284345
17.3	0.5339366515837104	442	79.3552036199095
2.0	0.236903831118061	21743	31.127121372395713
6.1	0.36214242239805233	3286	48.49208764455265
6.4	0.3657885961987329	2999	49.92164054684895
14.5	0.48520710059171596	676	74.05621301775147
18.4	0.5394088669950738	406	85.41133004926108
7.7	0.3874827427519558	2173	54.35020708697653
3.9	0.29779723242022027	7082	40.36472747811353
7.9	0.4051724137931034	2088	55.53639846743295
21.1	0.6153846153846154	286	99.2937062937063
2.4	0.24811152735982314	16283	33.32045691825831
6.2	0.35899073778345575	3131	48.646119450654744
11.5	0.4353059177532598	997	63.18254764292879
9.3	0.4223057644110276	1596	57.61904761904762
19.3	0.6260162601626016	369	89.29268292682927
5.2	0.341157332093888	4303	45.089704857076455
3.7	0.29026411185914036	7724	39.35797514241326
11.6	0.4587251828631139	957	62.492163009404386
15.5	0.498134328358209	536	72.93283582089552
3.1	0.27693180743403006	10573	37.698477253381256
10.2	0.4357459379615953	1354	60.88478581979321
14.9	0.5088282504012841	623	74.08667736757624
3.2	0.2825162074554295	9872	38.33711507293355
6.8	0.37030213706705967	2714	50.87214443625645
5.5	0.3369397217928903	3882	46.87145801133436
4.0	0.30720588235294116	6800	40.03205882352941
7.8	0.4044783230109576	2099	54.29442591710338
4.4	0.30129076086956524	5888	41.49864130434783
20.0	0.5764331210191083	314	88.32484076433121
5.6	0.33997308209959626	3715	46.907133243607
12.8	0.45958986731001206	829	66.27744270205066
3.5	0.28878593490140175	8418	39.022689474934666
9.9	0.4489329268292683	1312	60.8467987804878
2.6	0.26210362400906	14128	35.08515005662514
9.7	0.4170927684441198	1369	58.84441197954712
4.1	0.30054988216810685	6365	39.70683424980361
10.5	0.4355108877721943	1194	63.03685092127303
15.3	0.5472	625	77.3408
6.0	0.35206216377764493	3346	48.92707710699342
36.5	0.6867469879518072	83	123.67469879518072
16.1	0.525911708253359	521	76.3320537428023
10.6	0.43247721623860813	1207	58.30488815244408
6.9	0.37663755458515286	2748	50.522561863173216
14.8	0.5039619651347068	631	73.32646592709985
16.2	0.5476190476190477	504	80.99801587301587
8.4	0.4067982456140351	1824	56.55592105263158
7.5	0.37749224634470535	2257	52.54054054054054
6.7	0.35691318327974275	2799	50.49124687388353
5.7	0.3364712210866057	3718	47.43356643356643
8.7	0.3941908713692946	1687	55.815056312981625
