p	linkRatio	samplenum
0.0	0.004469635293900348	14076540	0.9588863456502805
0.1	0.04610629772152372	1069355	7.712437871427169
0.2	0.07360544131309348	472533	11.111590090004295
0.7	0.1820602986107108	86735	23.42978036548106
6.0	0.5411985018726592	2136	72.21816479400749
0.9	0.2104544074486388	59286	27.089616435583444
1.7	0.30513110733823806	21204	38.10714959441615
0.3	0.09867694107621311	276934	14.290072724909184
11.5	0.7140186915887851	535	104.71214953271028
1.2	0.24953725739066054	37818	31.43764873869586
0.5	0.14384460645142882	140186	19.32466152112194
0.6	0.16357861302276336	107673	21.57819509069126
1.0	0.2222355697038861	49947	28.47258093579194
0.8	0.1962778094694809	70120	25.421948088990302
0.4	0.12121636916814638	192606	16.898580521894438
1.5	0.28501012571166556	26171	35.35573726643995
1.3	0.2611285073985387	32574	32.834346411248234
1.1	0.23652117354642385	43049	30.319124718344213
30.0	0.9166666666666666	48	186.83333333333334
4.1	0.4822821484287943	4487	60.02585246266994
5.8	0.5332458442694663	2286	69.001312335958
6.5	0.5782608695652174	1840	73.91847826086956
1.9	0.3217547201523895	17849	39.95047341587764
1.4	0.2768003833515882	29216	34.17599945235487
8.7	0.6402502606882169	959	89.38164754953075
4.9	0.5137844611528822	3192	64.12781954887218
2.6	0.3774751279822274	10353	46.37931034482759
12.9	0.7480916030534351	393	111.22900763358778
4.3	0.4724540901502504	4193	59.661817314571906
2.0	0.3339674746854863	16295	40.756673826327095
2.2	0.3434002111932418	14205	42.82998944033791
5.0	0.5103896103896104	3080	64.7672077922078
6.1	0.5433636799233349	2087	72.58025874460948
2.8	0.39440589765828277	9224	48.31081960104076
2.9	0.39723820483314154	8690	49.24787111622555
8.5	0.6101694915254238	1062	84.23352165725048
2.5	0.375202011133058	11138	46.24420901418567
6.2	0.5542168674698795	2075	73.08240963855421
14.3	0.7685459940652819	337	121.67655786350149
1.6	0.2915143270130091	23522	36.69326587875181
2.7	0.3936530758960666	9737	47.84892677416042
4.4	0.4823709759836484	3914	60.198773633111905
4.7	0.48484848484848486	3465	62.74545454545454
13.4	0.7270341207349081	381	118.76902887139107
5.2	0.5295381310418904	2793	66.14894378804154
4.5	0.48705205336123464	3823	60.97541198012033
3.0	0.41125168898169756	8141	49.96916840682963
7.4	0.6290207290922087	1399	78.87919942816298
3.6	0.44537085287476114	5757	54.81066527705402
3.3	0.4295403165033911	6635	51.95357950263753
10.8	0.6714285714285714	630	96.9095238095238
3.4	0.42504626773596543	6484	52.49429364589759
7.7	0.6037277147487844	1234	82.30470016207455
