p	linkRatio	samplenum
0.0	0.004838868811943742	14443045	1.0293764922840025
0.1	0.05630028391159217	1186637	8.933693286152378
0.3	0.15223363063705186	259555	20.323395812062955
0.5	0.23383435299646685	119157	28.963527111290148
0.2	0.10652196840716403	464599	14.977892763436856
2.6	0.6619934282584885	4565	92.84906900328588
0.6	0.26549447588251146	89064	32.99695724422887
0.4	0.19385544308293376	168930	24.81111111111111
3.6	0.7646502835538752	2116	118.37476370510397
1.1	0.4078934287702555	30177	50.1379858832886
1.3	0.45501169695879073	22228	56.2402825265431
2.0	0.5853882325954811	8719	77.25255189815346
2.9	0.6985252410663642	3526	102.47192285876348
0.7	0.29906158958818274	68307	36.56429062907169
0.9	0.34795579361312634	44247	43.226207426492195
1.2	0.4355415597542959	25722	53.19823497395226
1.4	0.4809364198177438	19094	59.98025557766838
1.6	0.5234249912982945	14365	65.87309432648799
0.8	0.31979470516560204	54166	39.99276298785216
1.7	0.5348337839987275	12574	69.04135517735008
2.8	0.6803321224701608	3854	99.50622729631552
1.0	0.3790004991957402	36058	46.722419435354155
1.5	0.494366969124901	16421	62.60270385482005
3.0	0.6972477064220184	3379	103.22551050606688
2.3	0.6348614936011664	6173	84.67212052486636
1.9	0.5813141683778235	9740	74.7894250513347
2.1	0.6111969111969112	7770	80.33191763191763
2.5	0.6665357423409269	5092	89.88000785545954
1.8	0.5631183583730304	10916	71.41068156834005
2.7	0.693491124260355	4225	97.26816568047337
2.2	0.6299971239574346	6954	82.41990221455278
3.1	0.7247304582210242	2968	106.29716981132076
3.2	0.7431713373536715	2819	109.1273501241575
10.2	0.9565217391304348	46	347.2173913043478
11.9	1.0	11	379.45454545454544
11.6	1.0	16	370.3125
7.4	0.9575471698113207	212	234.87264150943398
4.5	0.8492550394390885	1141	143.79491673970202
10.5	1.0	40	350.125
3.3	0.7348782403770621	2546	111.80675569520817
6.1	0.9240196078431373	408	193.25980392156862
6.5	0.9164345403899722	359	207.050139275766
9.4	0.9577464788732394	71	314.76056338028167
8.4	0.9669421487603306	121	271.68595041322317
7.7	0.9487179487179487	195	237.6153846153846
8.2	0.9856115107913669	139	260.0143884892086
4.1	0.7949762389680923	1473	132.54243041412084
3.8	0.7814938684503902	1794	125.6371237458194
6.8	0.9587628865979382	291	215.70790378006873
9.1	0.9615384615384616	78	293.53846153846155
4.9	0.8662131519274376	882	153.6530612244898
5.8	0.8862275449101796	501	179.7804391217565
12.5	1.0	6	434.8333333333333
5.0	0.8664987405541562	794	158.41435768261965
8.9	0.9655172413793104	87	283.4597701149425
2.4	0.6501236312257153	5662	88.08124337689863
4.7	0.8537590113285273	971	152.81977342945416
4.8	0.8585106382978723	940	156.06489361702128
9.8	0.9855072463768116	69	331.1159420289855
5.3	0.8817518248175182	685	169.6058394160584
9.0	0.9868421052631579	76	305.5131578947368
3.7	0.774626095925735	1939	121.16348633316143
3.4	0.7527812113720643	2427	113.60980634528224
6.3	0.9203980099502488	402	198.19900497512438
7.6	0.9509803921568627	204	239.2156862745098
3.9	0.8088942307692307	1664	128.48497596153845
4.6	0.8347910592808552	1029	146.65986394557822
5.1	0.8583959899749374	798	161.04260651629073
12.4	1.0	9	479.0
4.2	0.8172733761598858	1401	136.65524625267665
3.5	0.7547841566533156	2247	115.0983533600356
9.2	0.9866666666666667	75	303.29333333333335
5.9	0.9043659043659044	481	183.52806652806652
6.4	0.9435483870967742	372	201.3763440860215
8.7	0.99	100	275.8
7.2	0.9506726457399103	223	234.26905829596413
6.6	0.9279279279279279	333	213.5045045045045
12.0	1.0	14	398.57142857142856
6.0	0.9317180616740088	454	185.45154185022025
5.4	0.8562691131498471	654	172.49847094801223
4.4	0.8448979591836735	1225	139.17142857142858
6.7	0.9387096774193548	310	210.09354838709677
5.5	0.8785834738617201	593	175.77065767284992
8.5	0.954954954954955	111	270.72072072072075
5.6	0.8695652173913043	552	174.8822463768116
9.3	0.9871794871794872	78	292.79487179487177
8.8	0.9904761904761905	105	293.9904761904762
4.0	0.810935441370224	1518	131.47035573122528
8.6	0.9841269841269841	126	286.6666666666667
7.1	0.9411764705882353	238	222.2058823529412
10.4	0.9473684210526315	38	401.07894736842104
8.0	0.9375	160	247.81875
5.2	0.858887381275441	737	167.84124830393486
5.7	0.9077212806026366	531	181.19020715630884
12.2	1.0	9	441.22222222222223
11.4	1.0	20	394.3
10.7	0.967741935483871	31	431.16129032258067
11.5	1.0	22	416.40909090909093
9.9	0.9830508474576272	59	340.93220338983053
9.6	0.9827586206896551	58	320.13793103448273
9.5	0.974025974025974	77	316.1818181818182
6.9	0.9432314410480349	229	217.235807860262
8.3	0.976	125	254.872
4.3	0.8152969894222946	1229	137.0813669650122
10.0	0.9761904761904762	42	366.26190476190476
7.0	0.9588014981273408	267	221.38951310861424
9.7	1.0	62	315.66129032258067
8.1	0.9426751592356688	157	261.45859872611464
7.9	0.96	150	245.34
10.9	1.0	18	415.8333333333333
7.8	0.9685534591194969	159	252.1320754716981
10.8	0.9545454545454546	22	383.6363636363636
7.5	0.96875	192	235.99479166666666
12.9	1.0	4	433.25
7.3	0.9387755102040817	196	228.6734693877551
10.3	0.9767441860465116	43	360.6046511627907
6.2	0.9172749391727494	411	197.48418491484185
10.6	1.0	36	372.6388888888889
13.1	1.0	3	482.3333333333333
11.2	0.95	20	388.95
11.7	1.0	17	393.4117647058824
13.2	1.0	4	458.75
13.9	1.0	2	578.0
12.8	1.0	5	497.6
11.0	1.0	28	408.75
17.5	1.0	1	891.0
12.6	1.0	8	396.25
11.3	0.9230769230769231	13	412.6923076923077
13.8	1.0	4	571.0
13.4	1.0	3	637.3333333333334
16.0	1.0	1	710.0
13.0	1.0	3	489.3333333333333
12.7	1.0	4	447.25
14.3	1.0	3	596.0
13.5	1.0	6	501.0
13.3	1.0	5	549.8
11.8	1.0	8	404.375
11.1	1.0	17	383.8235294117647
12.1	1.0	4	448.0
10.1	0.9444444444444444	36	367.5
12.3	1.0	5	455.8
14.5	1.0	1	604.0
14.8	1.0	1	683.0
16.7	1.0	1	781.0
15.1	1.0	1	638.0
15.7	1.0	1	740.0
15.5	1.0	1	635.0
14.2	1.0	2	533.0
15.2	1.0	1	617.0
13.7	1.0	1	442.0
14.1	1.0	1	509.0
13.6	1.0	2	429.0
14.9	1.0	1	608.0
