p	linkRatio	samplenum
0.0	0.0024755333522047188	12911965	0.5791790792493628
0.1	0.021209656480662135	1509784	4.198099860642317
0.2	0.04370509880162214	658390	7.284569935752366
0.6	0.1262028414904226	154426	17.319020113193375
0.3	0.06536964980544747	406060	9.925254888440133
1.6	0.2967745921898171	32368	37.00126668314385
1.1	0.21868712479348307	61133	27.732354047731995
1.0	0.20608131668875096	71695	25.91707929423251
0.4	0.08582190429566196	273718	12.549934604227708
6.0	0.6934112646121148	1882	100.53028692879914
1.4	0.26579812492390115	41065	33.29329112382808
0.9	0.185686403611908	85052	23.756090391760335
0.8	0.164857657373968	101621	21.74020133633796
0.7	0.14518481510431355	124097	19.470873590820084
0.5	0.10733909531022602	202014	14.979555872365282
1.5	0.28352605907820466	36494	35.20041650682304
1.3	0.25437953054884366	46352	31.578227476700036
10.0	0.8435643564356435	505	143.05346534653467
2.4	0.39586333289697606	15278	49.789632150805076
1.2	0.23930577017299212	53066	29.70018467568688
3.0	0.4644636502287748	9835	58.819115404168784
4.4	0.5986653956148713	4196	79.6258341277407
2.5	0.4115851494285511	14087	51.621424007950594
6.3	0.6786735277301315	1749	102.34705546026301
2.3	0.38801642908915196	16556	48.3633727953612
2.1	0.35816894284269096	19770	45.254476479514416
6.7	0.7078877005347594	1496	105.80548128342247
1.9	0.333929983765558	24023	42.05469758148441
2.6	0.4320637596750709	13049	52.66817380642195
3.2	0.4929806242023437	8619	62.03991182271725
2.7	0.434672131147541	12200	54.32180327868853
3.5	0.521259842519685	6985	67.09291338582678
1.7	0.3117626886145405	29160	38.60222908093279
3.8	0.5367942667365845	5721	70.02254850550604
1.8	0.32280434368451133	26245	40.43798818822633
2.2	0.3768598711969798	18012	46.59987785920497
6.9	0.7494456762749445	1353	110.10643015521065
3.4	0.5095626588203825	7477	64.9824796041193
4.9	0.6288627935723115	3236	84.63689740420271
2.9	0.4573217726396917	10380	56.878516377649326
4.2	0.5776678141135972	4648	75.76871772805508
4.3	0.5970753655793026	4445	77.49718785151856
2.0	0.3458923248882265	21472	43.58685730253353
5.9	0.6998956158663883	1916	96.97546972860125
5.3	0.6608870967741935	2480	89.50725806451612
4.0	0.556774441878368	5196	74.60431100846806
5.6	0.6722838137472283	2255	93.40709534368071
3.7	0.5326697704286403	6229	69.35398940439877
3.3	0.507585025691216	8174	64.44225593344751
2.8	0.44095891631761874	11221	55.64013902504233
3.1	0.47193795109339653	9283	59.87967251965959
5.2	0.643112062812277	2802	89.25160599571734
