p	linkRatio	samplenum
0.0	0.0017855400863806706	11583610	0.36462035583034996
2.0	0.04000150806816468	132620	8.415638666867743
0.5	0.011166420440822677	1912878	2.4465371027321137
3.6	0.08845559972403824	121756	13.972773415683827
5.2	0.14443258626823194	36543	18.257586952357496
10.9	0.26535480023852115	6708	33.8231961836613
11.3	0.2612673343605547	10384	36.76040061633282
3.7	0.14713051185464215	27078	14.619432749833813
5.1	0.11570963259913901	43903	18.96672209188438
55.0	0.8333333333333334	126	146.13492063492063
15.4	0.3596048298572997	4555	49.29242590559824
3.1	0.07995960417169497	157442	12.300777429148512
2.6	0.07178394112364654	193762	10.686342007204715
1.5	0.03276677919129679	339185	6.537827439303035
2.1	0.06410720930688027	204236	8.906701071309662
1.0	0.022199015018314543	771791	4.5276985608798235
5.7	0.1457231726283048	38580	20.069155002592016
2.5	0.047505714353040976	42437	9.682470485661097
4.1	0.09714272988441752	89806	15.55613210698617
3.5	0.06209912536443149	3430	12.190962099125365
1.1	0.04918806275311603	101732	5.248555026933512
4.6	0.1076402426662092	64121	17.18444815271128
3.2	0.15457372376263281	23154	13.789885117042411
1.6	0.05765548004390574	171276	7.050549989490647
7.7	0.183505556638721	25645	26.5702476116202
3.0	0.0568832043083137	11884	10.95960955907102
2.7	0.14852745472429554	17283	12.565121795984494
13.8	0.3513154398086633	3763	46.78102577730534
4.2	0.14219037601893242	30424	15.571160925585064
6.7	0.15310813511892865	35021	23.165900459724167
5.6	0.1279691316506779	28249	20.52766469609544
4.7	0.14229353746503753	33965	16.79078463123804
12.9	0.2957865168539326	7120	39.502808988764045
6.1	0.14222856463313116	16818	22.138482578190036
9.2	0.2199411022297013	11885	32.25443836769037
8.3	0.208172596085155	13998	26.942277468209745
11.8	0.2776775648252537	8870	39.00732807215333
59.0	0.856	125	148.216
8.2	0.19013643156727572	20743	28.451332979800416
19.1	0.39287026828371924	2721	55.342521131936785
34.2	0.6345679012345679	405	90.49382716049382
15.9	0.3724696356275304	3952	50.76012145748988
39.1	0.6696165191740413	339	101.2566371681416
13.3	0.32915098285236305	4782	45.05499790882476
21.1	0.45056566650270535	2033	61.86915887850467
12.8	0.3031923784054822	5983	42.95303359518636
8.6	0.33312769895126465	1621	31.25416409623689
2.2	0.145940494200706	9915	10.819667170953101
9.7	0.23648330982604607	8508	33.93594264221909
7.2	0.1645051194539249	30765	24.910352673492604
40.6	0.6917808219178082	292	104.65068493150685
9.9	0.25144255988809233	5719	30.691029900332225
9.8	0.23458257586351558	14302	31.89721717242344
10.8	0.2514571190674438	12010	35.01082431307244
18.0	0.39362041467304626	3135	54.427751196172245
52.2	0.7890625	128	129.9375
15.5	0.34163871586008626	4174	45.37230474365117
14.3	0.3731543624161074	2980	48.58926174496644
6.2	0.1474542823312722	38005	21.598605446651757
15.1	0.39006094702297234	2133	44.15002344116268
10.3	0.2375851251052108	13069	33.214936108348
16.5	0.35810645082168263	4077	48.858719646799116
16.4	0.3888052964188986	3323	53.17694854047547
12.3	0.287312929755966	7417	41.03114466765538
22.6	0.495	1600	67.223125
8.7	0.20540574756298266	15798	30.516204582858588
7.1	0.1842485549132948	5536	26.16293352601156
12.2	0.3787646758550281	1959	42.55181214905564
25.8	0.48751076658053405	1161	71.96468561584841
22.8	0.444633730834753	1174	62.36456558773424
18.2	0.39477124183006534	1530	49.426797385620915
24.4	0.4982738780207135	869	64.94591484464902
16.1	0.375	2320	45.71508620689655
23.9	0.47796610169491527	885	63.675706214689264
15.6	0.36662343277129267	2313	45.01642888024211
13.4	0.30983868623746547	6881	41.24051736666182
10.7	0.3012561686855092	4458	38.01076716016151
40.5	0.6727272727272727	275	106.84727272727272
45.7	0.7314285714285714	175	119.92
14.9	0.3366756652526032	5186	47.02969533359044
20.5	0.47699475829935933	1717	63.65346534653465
6.6	0.15858627011611326	9818	24.205235282134854
14.6	0.3726161369193154	2045	42.81515892420538
16.0	0.33259149357072204	4044	47.22601384767557
10.2	0.26446010158938227	6103	36.11322300507947
26.3	0.5157515751575158	1111	74.22862286228623
1.2	0.09741784037558686	852	5.957746478873239
51.2	0.7861271676300579	173	123.41040462427746
21.4	0.45278450363196127	826	60.61743341404358
28.7	0.5968882602545968	707	80.74540311173975
26.7	0.5591054313099042	939	77.4398296059638
31.6	0.5875706214689266	531	82.74387947269304
10.4	0.25607568096558475	6131	32.12983200130484
9.3	0.22262975778546712	14450	30.09515570934256
27.1	0.5621019108280255	628	77.29299363057325
7.6	0.2287684111563773	3191	28.296458790347852
23.2	0.46472772277227725	1616	66.1299504950495
23.1	0.513728323699422	1384	70.26156069364161
10.5	0.3173228346456693	2540	31.459448818897638
15.0	0.333806146572104	4230	43.91749408983451
13.1	0.3680762358546754	1679	38.89458010720667
49.5	0.8165680473372781	169	123.46745562130178
8.1	0.27923976608187134	2052	30.5
23.8	0.49599358974358976	1248	65.10176282051282
27.4	0.5242030696576151	847	72.36363636363636
20.4	0.4889867841409692	908	62.87444933920705
12.4	0.28520742358078605	7328	38.0484443231441
32.3	0.6138211382113821	492	88.40650406504065
17.1	0.38330170777988615	2635	48.35256166982922
28.0	0.5481586402266289	706	73.15297450424929
37.9	0.6655629139072847	302	102.9205298013245
17.4	0.42	2350	56.617446808510635
8.8	0.2140952901770456	14629	28.56012030897532
14.1	0.39839438033115904	1993	41.86302057200201
17.3	0.44388270980788674	989	53.378159757330636
19.0	0.4144395692062226	2507	58.121659353809335
8.4	0.27511008597190184	4769	26.64038582512057
20.1	0.4142502071251036	2414	58.75227837613919
21.8	0.48040033361134277	1199	59.77564637197665
24.7	0.5210332103321034	1355	70.13284132841328
22.7	0.46452806909315236	1621	63.16594694632943
11.4	0.267772850808182	6991	35.133457302245745
20.3	0.4792626728110599	1085	55.183410138248846
15.8	0.4154244977316915	1543	52.70058327932599
22.1	0.4688601645123384	1702	64.98413631022326
32.4	0.616	625	90.6112
19.9	0.503883495145631	1030	63.59126213592233
38.8	0.6388059701492538	335	103.0955223880597
18.7	0.4299007444168734	1612	50.41439205955335
19.3	0.432073544433095	979	52.67007150153218
