p	linkRatio	samplenum
1.1	0.013960023945723028	240544
1.3	0.009948135637088826	301363
5.0	0.03928825622775801	14050
5.1	0.10507432086109687	3902
0.8	0.005516365616247335	585893
0.9	0.010615704441336122	311708
1.0	0.005493477201666274	619826
2.8	0.02604343551702565	55945
0.3	0.00092336180714379	1194548
3.9	0.07181452009038215	10179
1.4	0.01547061429488743	200897
0.1	0.00010150218600484151	2157589
0.6	0.005073340088102527	550722
5.6	0.09846650524616626	3717
3.0	0.020681818181818183	70400
3.5	0.0435550843714109	22638
2.3	0.019611706871875714	96422
2.7	0.02242918467685635	67323
7.7	0.08710462287104623	2055
2.0	0.011492943156804351	193075
3.7	0.03193888686795198	27490
1.7	0.013646756216061732	195944
0.2	0.00033754794017646224	1792338
0.5	0.003110316987624909	710217
0.4	0.0023335976653343265	749058
0.7	0.004686210252682675	649352
1.5	0.014328665321533452	200228
4.6	0.06761047896268854	7558
1.9	0.027120863191611236	85543
2.4	0.03010446826162781	59061
1.2	0.009555386113562308	350169
2.1	0.032935857758359124	65916
1.8	0.01528167850652569	169484
2.2	0.0202551358834104	104023
1.6	0.01808697441966669	155471
12.7	0.17829457364341086	258
4.3	0.03953671699714996	16491
2.9	0.05017120738424892	26868
4.8	0.059218559218559216	9828
15.4	0.4411764705882353	34
3.4	0.049455194439226004	21292
3.1	0.05291295407813571	21885
4.4	0.06890699253224712	8838
3.3	0.02945844879072395	37171
4.2	0.04705411890162623	15004
3.2	0.03371247334171816	36574
9.1	0.24050632911392406	316
44.2	1.0	1
2.5	0.02794272895223014	60624
8.1	0.210431654676259	556
9.4	0.2064343163538874	373
5.7	0.05695039804041641	6532
5.9	0.128584229390681	2232
4.7	0.04554471157660874	12603
2.6	0.033258531628419005	47236
5.5	0.07961714161409615	4597
7.5	0.10978184377199156	1421
3.8	0.04074260368558233	21869
13.4	0.4057971014492754	69
8.8	0.12921348314606743	890
9.3	0.10951327433628319	904
9.2	0.13428571428571429	700
4.9	0.08910015476453681	4523
6.1	0.13241525423728814	1888
4.1	0.07366226546212648	8634
9.8	0.19811320754716982	530
8.7	0.09870918754745633	1317
8.2	0.12908496732026145	1224
4.5	0.0606312292358804	9632
6.2	0.0870020964360587	3816
6.5	0.10282671036460467	2441
6.3	0.0610969682943763	4321
4.0	0.03024321702184604	29891
5.4	0.08498715853373803	4283
3.6	0.05248587570621469	17700
6.6	0.11451187335092348	1895
7.0	0.06660184735051045	4114
7.3	0.07171799027552674	2468
5.2	0.06212976994076319	7259
8.5	0.1613316261203585	781
5.3	0.05286616317939829	8077
8.9	0.25885558583106266	367
8.4	0.15902140672782875	654
6.8	0.10093109869646183	2685
5.8	0.07028820236367406	4823
