p	linkRatio	samplenum
0.1	5.751691127911859e-06	3824962
0.2	0.0001131858818383137	1828850
0.0	0.0	3450782
0.3	0.0005770664950175024	1155846
2.1	0.12071012943830899	16842
0.5	0.005288916394573792	562308
2.7	0.18665607625099284	7554
0.4	0.0020799743848003037	793279
1.0	0.03204886509313023	132610
0.6	0.009895016887297686	404446
0.7	0.015266842818246442	298228
0.8	0.020688048945442492	223269
2.5	0.16348012889366273	9310
2.3	0.14667624291756445	12531
1.1	0.039663576412118894	104630
1.6	0.08039225968849965	38138
0.9	0.026575247658316568	170497
2.8	0.19281094901488946	6649
2.4	0.1526038831428053	11022
1.2	0.046851403504566486	83434
4.9	0.41278439869989164	923
1.7	0.09035481944749992	31819
1.4	0.06354611984638794	55204
3.4	0.2590702947845805	3528
3.5	0.26865671641791045	3149
7.2	0.5535714285714286	224
1.9	0.10959499391621763	23012
1.5	0.06973106834079158	46034
1.3	0.055795770893798495	67532
3.8	0.30172777075431945	2373
2.9	0.2045918367346939	5880
2.0	0.11389545034404848	19474
2.2	0.13706496921054453	14453
3.2	0.24040684234858992	4326
4.4	0.3784370477568741	1382
1.8	0.1008524833209785	26980
3.9	0.31392527899078115	2061
3.7	0.2826687722068693	2533
3.1	0.23658639628221378	4734
4.6	0.35142118863049093	1161
8.3	0.648	125
6.3	0.5431034482758621	348
2.6	0.17544479792624013	8487
3.0	0.21921278254091972	5132
11.1	0.7692307692307693	39
3.3	0.23988046726433035	3681
11.5	0.8214285714285714	28
27.2	1.0	5
3.6	0.27185158758473066	2803
5.0	0.40158371040723984	884
13.5	0.9444444444444444	18
6.6	0.5166666666666667	300
9.8	0.796875	64
4.7	0.3653671804170444	1103
12.6	0.8571428571428571	28
4.2	0.336104513064133	1684
6.4	0.5282485875706214	354
5.1	0.42839195979899497	796
5.3	0.44692737430167595	716
4.5	0.3529856386999244	1323
5.4	0.4437400950871632	631
6.2	0.4962962962962963	405
4.1	0.33072509128847155	1917
6.1	0.4717832957110609	443
5.2	0.43796526054590573	806
6.9	0.5323741007194245	278
7.1	0.5583333333333333	240
6.7	0.5210355987055016	309
15.7	0.7777777777777778	9
4.3	0.34235976789168276	1551
8.0	0.6506849315068494	146
8.8	0.78125	96
5.6	0.46774193548387094	620
10.6	0.75	36
16.2	0.8461538461538461	13
7.9	0.6875	160
7.0	0.601593625498008	251
