p	linkRatio	samplenum
0.0	1.87826054291121e-06	4259260
0.2	0.00023247849738544012	1518420
0.1	4.170731671748834e-05	3428655
1.6	0.034289736542200175	59668
0.3	0.0006638448466886568	869179
0.4	0.0013080856481319557	571828
2.0	0.03835030805985163	39765
0.6	0.004807300312768046	306617
0.9	0.01621679091409416	159896
0.5	0.002578255323324502	407640
0.7	0.007293466844644553	238981
2.1	0.04117274952556451	36359
2.7	0.04928590204153159	22826
1.4	0.03087557603686636	75950
1.0	0.022710374629162033	135841
1.3	0.030441909863317327	86624
0.8	0.01087498906842395	194391
1.2	0.027668103927053146	99031
2.9	0.05167958656330749	20124
1.9	0.03905447070914697	43785
2.6	0.04848093083387201	24752
3.2	0.05624850083952986	16676
1.1	0.0260312340122959	115323
3.0	0.05255811456487894	18627
2.4	0.04587027367978414	28537
2.3	0.045135731913235486	30796
2.8	0.04798455453004332	21236
1.5	0.03262394412440677	67006
3.1	0.053255444646098	17632
3.5	0.059067209485036784	14001
1.8	0.03782154506792188	48438
3.6	0.06026550007542616	13258
4.6	0.07137637028014616	8210
3.8	0.06435436690346845	11965
3.7	0.05908670163529775	12964
1.7	0.03537501639467126	53371
3.9	0.061533113158352165	11506
2.2	0.043084786530366806	33260
8.0	0.12650853100291304	2403
4.2	0.07198542067429381	9877
4.5	0.07590375450424271	8603
4.0	0.06397400185701022	10770
2.5	0.047526382755781756	26722
4.1	0.07096398407921561	10301
17.4	0.24285714285714285	350
6.7	0.09884361233480177	3632
6.5	0.09361924686192469	3824
4.7	0.07489155396784894	7838
5.4	0.08363140861863397	5871
7.8	0.11718131433095803	2526
3.3	0.05374759769378604	15610
7.9	0.11593027969193352	2467
4.4	0.06907239318131503	9034
11.7	0.18336886993603413	938
9.9	0.15247252747252749	1456
11.8	0.16219119226638024	931
5.1	0.08237986270022883	6555
7.3	0.10403253134530667	2951
14.6	0.2164750957854406	522
6.0	0.08751608751608751	4662
9.3	0.15615431720759337	1633
6.1	0.08608830707787886	4507
5.3	0.08652719665271967	5975
7.6	0.12252252252252252	2775
10.6	0.1788879935535858	1241
7.7	0.12350904193920739	2599
8.1	0.12622601279317697	2345
7.2	0.10631229235880399	3010
6.6	0.10236011667992576	3771
5.0	0.08023340627279359	6855
5.2	0.08228643216080402	6368
9.8	0.14458641560188298	1487
13.3	0.17937219730941703	669
8.7	0.12864321608040202	1990
10.0	0.14453665283540804	1446
11.2	0.1457142857142857	1050
15.2	0.2782608695652174	460
4.8	0.07514139509830325	7426
5.5	0.08711985688729874	5590
7.0	0.11345974510413429	3217
11.5	0.16119402985074627	1005
5.7	0.08377458396369138	5288
10.7	0.1598962834917891	1157
8.8	0.125531914893617	1880
7.5	0.11866197183098591	2840
11.4	0.17298797409805736	1081
4.3	0.07228786251342642	9310
14.1	0.18604651162790697	559
5.8	0.09318637274549098	4990
3.4	0.058215708786384816	14807
6.4	0.10208757637474541	3928
17.6	0.24107142857142858	336
6.3	0.09690476190476191	4200
